    x-direction              y-direction               z-direction
  -1.2073675392798577E-017   8.8817841970012525E-018  -6.7168492989821969E-017
  -6.6613381477509390E-018  -1.5543122344752193E-017  -1.7208456881689926E-017
  -4.4408920985006263E-018  -3.7747582837255325E-017  -2.2759572004815708E-017
  -7.9103390504542397E-018  -2.6645352591003756E-017  -4.9404924595819467E-017
   1.8318679906315084E-017  -1.5543122344752193E-017  -4.6629367034256573E-017
   1.7347234759768071E-017  -2.2204460492503132E-017  -5.5511151231257828E-019
  -8.7430063189231078E-018  -3.7747582837255325E-017  -1.5543122344752193E-017
  -3.0808688933348097E-017  -2.6645352591003756E-017   5.5511151231257830E-018
  -1.4710455076283325E-017  -1.5543122344752193E-017  -4.0523140398818213E-017
  -1.7624790515924360E-017  -3.9968028886505634E-017  -1.4432899320127036E-017
  -2.4980018054066023E-017  -3.5527136788005010E-017  -9.9920072216264085E-018
   1.5820678100908479E-017  -4.2188474935755949E-017   7.2164496600635178E-018
   3.1918911957973252E-018  -8.8817841970012525E-018   9.4368957093138313E-018
  -4.3715031594615538E-017  -5.1070259132757203E-017  -2.8865798640254071E-017
  -8.1185058675714567E-017  -3.3306690738754695E-017  -5.2735593669694933E-017
  -6.2311267257086914E-017  -4.4408920985006263E-018  -3.3861802251067274E-017
  -4.5657921887709563E-017  -1.9984014443252817E-017  -3.3861802251067274E-017
  -8.8817841970012525E-018   2.2204460492503132E-017  -2.6090241078691177E-017
  -1.8873791418627663E-017  -1.3322676295501878E-017  -4.2743586448068528E-017
  -3.1641356201816959E-017   1.5543122344752193E-017  -4.4408920985006264E-017
  -2.4702462297909733E-017   1.9984014443252817E-017  -2.6645352591003756E-017
  -5.3984594572398239E-017  -1.9984014443252817E-017  -6.9388939039072284E-017
  -7.4940054162198071E-018   6.6613381477509390E-018  -3.5527136788005010E-017
  -3.4555691641458000E-017  -1.7763568394002505E-017  -4.2743586448068528E-017
  -8.0491169285323844E-018   1.7763568394002505E-017  -6.4948046940571654E-017
  -2.7755575615628914E-017   6.6613381477509390E-018  -5.3290705182007512E-017
  -3.1918911957973248E-017  -4.2188474935755949E-017  -3.0531133177191807E-017
  -4.9404924595819467E-017  -1.5543122344752193E-017  -5.4956039718945248E-017
  -4.5102810375396984E-017  -8.8817841970012525E-018  -1.9428902930940238E-017
  -2.7200464103316335E-017   1.1102230246251566E-017  -6.4948046940571654E-017
