 Force in GigaNewton/mol
           1  -2.45062423      -1.13273919      0.106910624    
           2   45.1760864      -21.9378357       30.5947552    
           3   4.80175066      -1.38376451       2.30099940    
           4 -0.102932140      -25.1021423       7.77234983    
           5   1291.36768      -1869.40698      -907.817871    
           6   131.493530      -10.4551582       113.962448    
           7  -1785.67871      -2547.33911      -1358.48474    
           8  0.333227336      0.270613849     -0.162683308    
           9   2.97765231      -3.69949889      0.225838661    
          10  -3744.85229       1502.15784       3665.35181    
          11   14.9919720       27.1810532       8.58049107    
          12  -1527.41248       3910.06421       2729.77075    
          13  -1.57899205E-02   8.32247436E-02  0.186116606    
          14  0.423304111       1.53913307     -0.402115256    
          15  -3.51815748       2.98599386      0.266548365    
          16  -44.0153236       64.9786758      -13.6418657    
          17  -72788.4609       9692.28711       60550.9727    
          18  -1291.74744       1861.44226       906.224731    
          19   49.6756744      -144.186798      -62.1159821    
          20   231.904602      -80.9627686       121.373436    
          21  -9.03853226      -88.3506393      -24.9304047    
          22   1.21042252      -4.65025663       8.00372791    
          23  0.560818553      -1.29300904     -0.706342161    
          24 -0.731263578      -2.07514130E-02  -3.15525532E-02
          25   5.78960657       6.73105812       1.00651550    
          26  -2.27970052       3.43588877       1.45815659    
          27  -14.0369616       47.9441185      -1.56508303    
          28   12.4224644      -51.3055992      -2.03510666    
          29 -0.408856243       1.09915590      0.910607219    
          30  -2.23824573      -7.71694374       1.67845941    
          31  0.447549939      0.559620857      0.256632924    
          32   1.19194865      0.375397533       8.00552294E-02
          33   1527.47729      -3910.68359      -2729.15503    
          34   3.48098469       2.57241654      -3.24549842    
          35  -3.36630106       3.72426081     -0.296422482    
          36  -31.1216717      -87.3646469       149.475357    
          37  -17.8707256       29.8531208       41.3674698    
          38  0.889018178     -0.282814562     -0.597571194    
          39 -0.248750702       1.87976861      -1.17726885E-02
          40 -0.569689393     -0.256759107       1.40651143    
          41  -53.2824707      -1.11550140       7.30719566    
          42  -2.38156891      0.729482770       6.30917931    
          43  0.176111922      -2.52181292E-02 -0.149209619    
          44 -0.828883231     -0.826702476     -0.143540263    
          45  -11.9969635       3.73464608     -0.954385161    
          46  -16.4225311       35.4400787      -35.5898056    
          47  0.488460481      -9.07122269E-02 -0.126474664    
          48  -1.13046430E-02  -4.39455472E-02 -0.123567343    
          49  -1.36802435       1.27463484      -2.46150208    
          50 -0.521793067       25.2537422      -7.12833595    
          51 -0.141746655      0.136842310      0.180674970    
          52  -2.61649080E-02   18.2967281      -2.16450834    
          53  -3.55821443      -25.0131931      -4.82618380    
          54  -278.521515       52.6248398      -91.1696930    
          55  -1.81030405      0.788253844      -5.49043608    
          56   5562.96484       1061.53223      -2330.08130    
          57  0.583627045      0.667638361      -1.07656550    
          58  -108.237671       24.0138321      -95.6631241    
          59  -643.923950       101.966148       101.091194    
          60   3.32716584      -1.51479745      -4.49897909    
          61 -0.143737152      -2.25625563      0.614929974    
          62   643.916260      -101.522697      -101.342758    
          63  0.544030607      0.134048805       1.02431154    
          64  0.450538307      -1.20657754       1.59929049    
          65   6.63268423       4.52326536       1.47086239    
          66 -0.666173875     -0.864006400      0.459245980    
          67   40.6621742      -12.3212242      -27.1782188    
          68  -9.00450870E-02 -0.268226683       8.52633826E-03
          69   2.61312270      -2.23728347       3.41932344    
          70   18.7570019      -12.8748083       21.0848732    
          71  0.725311220      0.777826726      0.169832066    
          72 -0.184811860       2.61114687E-02 -0.405002266    
          73   37.6941071      -70.3708572       10.0692825    
          74  -4.81189299      -2.49583125      -4.67955589    
          75   8.66687205E-03  0.119249798      0.316399902    
          76  -2.81207395      0.653342783       1.99130034    
          77 -0.489167809      0.380890250      0.139622048    
          78  -212.391693       53.0060730      -162.258209    
          79   229.329697       95.9354324       150.848114    
          80   5.90021515       86.3247452       12.0077896    
          81  -3.13424420      -3.72059035       2.29207516    
          82  -43.5315895       19.4027519      -30.6403828    
          83  -1.24258780     -0.611714244      0.504173934    
          84  -1.66045237      -2.67125797       2.10071230    
          85 -0.918303370      0.386265934      0.588640392    
          86  -4.62310886     -0.652362704      -1.06435263    
          87   1.37268066      -1.25521028       5.81884575    
          88   72815.0938      -9647.97852      -60681.9336    
          89  -34.8632431      -2.04588675       28.6348286    
          90  0.190757722     -0.829683065     -0.531739950    
          91  -1.70921423E-02  0.550370276     -0.758423269    
          92   3.27332306      -12.5943937      -6.27027750    
          93   7.24038792      -4.26082516       1.36899328    
          94  -3.61626506       11.4486570      -4.26740122    
          95  -1.12100339      -6.11399603      -1.50430739    
          96  -2.64493036       2.17527008      -3.34718442    
          97  -5.14762306      -2.69184208      -4.39251137    
          98   1.53908682       3.61987400      -2.00640297    
          99   2.54665780      -3.18104219       9.64081955    
         100   4.66393805       14.0968742       5.03590584    
